Date,Ticker,Sector,Open,High,Low,Close,Adj Close,Volume
2023-10-31,APOLLOHOSP,Pharma,4832.0,4899.64990234375,4805.2001953125,4819.89990234375,4788.87841796875,276660
2023-11-01,APOLLOHOSP,Pharma,4835.0,4856.0,4790.0,4796.5498046875,4765.6787109375,281746
2023-11-02,APOLLOHOSP,Pharma,4837.7998046875,4895.0,4810.2001953125,4887.0,4855.54736328125,214035
2023-11-03,APOLLOHOSP,Pharma,4950.75,5165.5,4937.0498046875,5153.2001953125,5120.0341796875,1262458
2023-11-06,APOLLOHOSP,Pharma,5141.0498046875,5228.0,5127.5,5164.9501953125,5131.70849609375,399720
2023-11-07,APOLLOHOSP,Pharma,5150.0,5181.9501953125,5121.0498046875,5136.85009765625,5103.7890625,222204
2023-11-08,APOLLOHOSP,Pharma,5135.0,5153.64990234375,5087.4501953125,5110.9501953125,5078.0556640625,400498
2023-11-09,APOLLOHOSP,Pharma,5147.5,5313.0,5122.0498046875,5297.60009765625,5263.5048828125,1032216
2023-11-10,APOLLOHOSP,Pharma,5300.0,5338.0,5218.64990234375,5278.5,5244.52734375,696409
2023-11-13,APOLLOHOSP,Pharma,5250.0,5279.0,5200.2001953125,5220.64990234375,5187.04931640625,150128
2023-11-15,APOLLOHOSP,Pharma,5283.85009765625,5295.0,5207.0,5224.9501953125,5191.322265625,356675
2023-11-16,APOLLOHOSP,Pharma,5224.0,5368.0,5201.75,5338.75,5304.3896484375,449045
2023-11-17,APOLLOHOSP,Pharma,5332.2001953125,5493.35009765625,5306.14990234375,5478.9501953125,5443.68701171875,735541
2023-11-20,APOLLOHOSP,Pharma,5475.0,5595.0,5455.0498046875,5473.9501953125,5438.7197265625,526567
2023-11-21,APOLLOHOSP,Pharma,5500.0,5520.2998046875,5422.39990234375,5466.7998046875,5431.615234375,382979
2023-11-22,APOLLOHOSP,Pharma,5467.0,5539.9501953125,5439.14990234375,5532.0,5496.39599609375,302473
2023-11-23,APOLLOHOSP,Pharma,5530.0,5550.0,5473.2998046875,5493.9501953125,5458.5908203125,234584
2023-11-24,APOLLOHOSP,Pharma,5493.0,5493.0,5395.0,5401.2998046875,5366.53662109375,270183
2023-11-28,APOLLOHOSP,Pharma,5401.2998046875,5424.85009765625,5341.0,5366.7998046875,5332.2587890625,362746
2023-11-29,APOLLOHOSP,Pharma,5372.10009765625,5435.0,5364.5,5421.9501953125,5387.05419921875,277119
2023-11-30,APOLLOHOSP,Pharma,5382.0,5550.0,5382.0,5528.9501953125,5493.36572265625,775261
2023-12-01,APOLLOHOSP,Pharma,5550.0,5687.64990234375,5530.35009765625,5591.14990234375,5555.1650390625,546990
2023-12-04,APOLLOHOSP,Pharma,5626.0,5658.25,5569.60009765625,5622.5498046875,5586.36328125,936113
2023-12-05,APOLLOHOSP,Pharma,5610.0,5689.0,5525.0,5580.2001953125,5544.28515625,787929
2023-12-06,APOLLOHOSP,Pharma,5534.14990234375,5639.0,5508.75,5543.10009765625,5507.4248046875,574427
2023-12-07,APOLLOHOSP,Pharma,5490.25,5519.7998046875,5441.5,5461.39990234375,5426.25,510609
2023-12-08,APOLLOHOSP,Pharma,5495.0,5572.5498046875,5439.0498046875,5555.35009765625,5519.595703125,456382
2023-12-11,APOLLOHOSP,Pharma,5550.0,5555.35009765625,5490.0,5547.35009765625,5511.6474609375,238128
