Ticker,Sector,Date,Return_1d,Return_5d,Return_20d,Return_60d,Vol_5d,Vol_20d,Vol_60d,SMA_10_ratio,SMA_50_ratio,SMA_200_ratio,SMA_50_200_ratio,RSI_14,MACD,MACD_signal,MACD_hist,Beta_60d,Volume_ratio_20d,Rel_return_20d,Target
AXISBANK,Banking,2024-08-26,0.0037309921739907548,0.002958441740853046,-0.0002553615420798017,0.00033566906318180194,0.006888639755344071,0.009713310373461589,0.0186052188787236,1.004920346715497,0.9603497837987048,1.0437564336083005,1.0868502822791057,65.5799961309798,-13.440175626859627,-18.452191007066894,5.0120153802072664,1.1455468644945082,0.36963428381919333,-0.0006493926436539955,1
AXISBANK,Banking,2024-08-27,0.00935649059099819,0.0022717478263326596,0.0005224784856507458,0.00037376957819758766,0.005738727268446792,0.009834322702527227,0.018621577933504743,1.0128487095596284,0.9692158943003385,1.0525828252363731,1.0860148202544861,72.66741588154773,-11.243466365170207,-17.010446078687558,5.766979713517351,1.1696038852260902,1.0079507248918487,0.00011666928842786744,1
AXISBANK,Banking,2024-08-28,-0.00871962324806741,-0.0005680665464485646,8.863267756217263e-05,0.00031120789668946197,0.007105106051765624,0.01004960518562832,0.01864611077026658,1.0030408967823479,0.9609095996473466,1.0424762421886835,1.084884824307377,64.08238322912837,-10.215222379450097,-15.651401338840065,5.436178959389968,1.1700799083506364,0.6851686422643263,-0.0003436444731089672,1
AXISBANK,Banking,2024-08-29,0.003800409234710589,0.0009498642196579254,0.00044532231211069086,-0.0005110227256928335,0.007055443848523855,0.010048354838467513,0.017317722226270833,1.004933207149335,0.9648081698324644,1.0455388643446362,1.0836753844302442,64.97781017853055,-8.938515600701294,-14.308824191212311,5.3703085905110175,1.101111252133876,0.9719769105895688,3.0389416662335625e-06,1
AXISBANK,Banking,2024-08-30,-0.00012764203684678677,0.0016081253429570674,0.00017309171520300538,0.0007485272607773689,0.0066900133710179254,0.00998296552340751,0.01422922926545117,1.004083827121663,0.9654847197241074,1.0445359148285065,1.0818772099541754,63.5529103197821,-7.8483413530268535,-13.01672762357522,5.168386270548366,0.9665023776677283,1.3677988555018101,-0.00031634570063669986,1
AXISBANK,Banking,2024-09-02,0.011529480913987866,0.00316782309095649,0.0012379255610625195,0.00015615377380549708,0.008074474643537853,0.010002666080161758,0.012950431965113784,1.0125849267348668,0.9774151089270553,1.0557335533771819,1.0801281295273812,60.94719327092518,-5.824785957930317,-11.578339290446241,5.753553332515924,0.7871160338520419,0.8880992233766372,7.754386496346415e-05,1
AXISBANK,Banking,2024-09-03,0.0023553148329749085,0.0017675879393518334,0.0025337080142775635,0.00038606733809900726,0.007303181411563256,0.00812315427536472,0.012863239652840981,1.0129337065363953,0.9804410433199391,1.0574149582901395,1.0785094784583413,64.54546161338942,-3.9498290197657298,-10.05263723631014,6.10280821654441,0.8283297445253388,1.1253249381395984,3.172800845261921e-05,1
AXISBANK,Banking,2024-09-04,-0.011665032339982617,0.001178506120968792,0.002276878788682857,-3.3953163296092846e-05,0.008397387049795918,0.008497335205692498,0.012837993908502054,1.0008370522388292,0.9697933772123049,1.0443536628910892,1.0768826509138574,60.4769580913351,-3.543722656662112,-8.750854320380535,5.207131663718423,0.86167442417361,0.9411643344656939,-0.00019564524884210788,0
AXISBANK,Banking,2024-09-05,0.0024200475544324807,0.0009024337849131703,0.0019227877154467277,-0.00017898844478989596,0.008311895189663469,0.008326248318174845,0.012758733940145732,1.0023561802954166,0.9735821089279936,1.0461415020068114,1.0745282728733714,56.43192035856084,-2.95800039033702,-7.592283534371831,4.634283144034812,0.8684623978732451,0.6293073293634552,0.00019212572305257205,1
AXISBANK,Banking,2024-09-06,-0.01846606079723412,-0.002765249967164296,0.0009401061713128877,-0.0004117560220039303,0.012074440072210722,0.009495298416718591,0.012964637163414594,0.9844484249394423,0.9575885606062454,1.0262307218660196,1.0716823112593545,52.39751817431363,-4.202946860812062,-6.914416199659878,2.7114693388478157,0.9011323465998161,1.446229545875335,-0.0005794756968142245,0
